ID,Label,Therapist_Words_in_Transcript/Conversation_Per_Turn,Client_Words_in_Transcript/Conversation_Per_Turn,Ratio_of_Therapist_Client_Words_in_Transcript/Conversation_Per_Turn,Client_Questions_in_Transcript/Conversation_Per_Turn,Therapist_Questions_in_Transcript/Conversation_Per_Turn,Ratio_of_Client_Question/ Therapist_Questions_in_Transcript/Conversation_Per_Turn,Client_Turns_in_Transcript/Conversation,Therapist_Turns_in_Transcript/Conversation,Ratio_of_Client_Therapist_Turns_in_Transcript/Conversation,Average_Speaking_Time_of_Each_Speaker_in_Transcript/Conversation_Per_Turn,STD_Therapist_Words_in_Transcript/Conversation,Skew_Therapist_Words_in_Transcript/Conversation,Kurt_Therapist_Words_in_Transcript/Conversation,STD_Client_Words_in_Transcript/Conversation,Skew_Client_Words_in_Transcript/Conversation,Kurt_Client_Words_in_Transcript/Conversation,MODEL_A_Sem_All_Avg,MODEL_A_Sem_All_SD,MODEL_A_Sem_All_Skew,MODEL_A_Sem_All_Kurt,MODEL_A_Sem_Adj_Avg,MODEL_A_Sem_Adj_SD,MODEL_A_Sem_Adj_Skew,MODEL_A_Sem_Adj_Kurt,MODEL_B_Sem_All_Avg,MODEL_B_Sem_All_SD,MODEL_B_Sem_All_Skew,MODEL_B_Sem_All_Kurt,MODEL_B_Sem_Adj_Avg,MODEL_B_Sem_Adj_SD,MODEL_B_Sem_Adj_Skew,MODEL_B_Sem_Adj_Kurt,MODEL_C_Sem_All_Avg,MODEL_C_Sem_All_SD,MODEL_C_Sem_All_Skew,MODEL_C_Sem_All_Kurt,MODEL_C_Sem_Adj_Avg,MODEL_C_Sem_Adj_SD,MODEL_C_Sem_Adj_Skew,MODEL_C_Sem_Adj_Kurt,Overall_Sentiment_of_Client,Change_in_Client_Sentiment_in_Transcript/Conversation,Engagement
high_001,high,12.5,19,0.657894737,0.105263158,0.157894737,0.666666667,9,10,1.111111111,5.457205128,9.823441352,0.919955916,0.09724518,19.4422221,0.389301054,-2.13983821,0.28531286,0.194488609,0.476841595,-0.286000069,0.340133614,0.206564405,-0.364450088,-1.25097766,0.720287031,0.0603154,0.427098594,1.116495616,0.717387928,0.071355777,0.850519297,0.526110358,0.327539529,0.134709264,1.236197331,2.71888779,0.372956773,0.142237891,1.005787608,1.747711863,1,3,1
high_002,high,12.58823529,13.27777778,0.94806793,0.142857143,0.057142857,2.5,18,17,0.944444444,5.699032258,6.643218568,0.136855893,-1.275263803,21.65180486,2.350847484,5.839006832,0.272149775,0.180973638,1.080481832,1.760287733,0.249540959,0.129656555,-0.266756509,-0.593689749,0.72358945,0.077947838,0.305537375,-0.108209808,0.697418355,0.075920481,0.344220697,-0.654053908,0.308851296,0.166321337,0.933985919,1.230467815,0.262455814,0.129405278,0.581383687,-0.411549325,2,9,1
high_003,high,45.5,17.42857143,2.610655738,0.133333333,0.466666667,0.285714286,7,8,1.142857143,,58.36094585,2.524920788,6.768128405,15.86250446,0.862839178,-0.454568317,0.257150488,0.183106142,0.458035625,-0.31050547,0.272989462,0.185371299,0.788821259,-0.296736313,0.744772705,0.069110765,0.261745186,-0.617713932,0.744566551,0.088930631,0.081980724,-1.316985894,0.303262823,0.158104733,0.05643881,-0.52705529,0.32788767,0.185883403,-0.136463026,-0.943610236,1,4,0
high_004,high,26.83333333,15,1.788888889,0.291666667,0.375,0.777777778,12,12,1,5.127205882,17.48159205,-0.024893669,-1.630805406,11.77825423,0.915742277,1.08754451,0.299136257,0.17040998,0.555535829,0.028752802,0.295190672,0.160714252,0.34255624,-0.230131712,0.743811114,0.066684261,0.005851369,-0.324028802,0.725259944,0.071191387,0.225925198,-0.517758546,0.342292446,0.154061583,0.71490487,0.252353999,0.333133122,0.146258786,0.792579488,0.784627652,1,9,1
high_005,high,13.38461538,27.83333333,0.480884385,0.2,0.44,0.454545455,12,13,1.083333333,3.955071429,15.87733427,2.084151231,4.043729544,18.79474459,1.521184382,3.350307584,0.251392073,0.166194956,0.833356235,0.910756476,0.25915619,0.158755253,1.422594078,2.461187518,0.729331331,0.069287118,0.610759527,0.268528449,0.722116952,0.065666193,0.304011403,-0.572241761,0.280275261,0.166939836,0.630749916,0.555098941,0.287071474,0.17362555,-0.067743197,-0.865723055,1,9,1
high_006,high,29.83928571,29.96296296,0.995872329,0.381818182,0.3,1.272727273,54,56,1.037037037,5.06961039,39.46080992,2.520727606,6.886021599,33.8291841,1.38633153,1.14617142,0.262205753,0.196098061,0.791523127,0.489454954,0.284247162,0.188190996,0.335491174,-0.583193783,0.724258612,0.074472657,0.226303025,0.029915352,0.732241039,0.081029193,0.041612271,-0.714004478,0.301295692,0.153224474,0.926607602,1.398917157,0.330912508,0.125153368,0.294083164,-0.407774361,1,27,1
high_007,high,30.85714286,10,3.085714286,0.111111111,0.407407407,0.272727273,13,14,1.076923077,3.85438961,16.86077443,0.667803432,-0.04947454,5.986094999,0.482089759,0.243577757,0.274440421,0.183556109,0.342911497,-0.51195724,0.234116128,0.1828982,0.447751714,1.374926185,0.735971439,0.069143462,0.255934037,-0.285924501,0.731079198,0.061091983,1.058509211,2.216493005,0.31676869,0.157165541,0.862103668,0.442652819,0.305255204,0.13019576,1.136438393,1.333465454,1,9,1
high_008,high,66,22.4,2.946428571,0.090909091,1.636363636,0.055555556,5,6,1.2,5.592659574,70.55777774,1.232762149,1.217046053,22.99565176,1.319322961,0.854503017,0.318380449,0.191908596,0.813166867,0.554868731,0.382419418,0.14859672,0.293808161,-1.134744924,0.751932122,0.068820326,0.013135748,0.431952827,0.752029634,0.04967208,-0.313675334,0.163178387,0.340436898,0.140723665,0.522590426,-0.588137288,0.324664277,0.134920043,0.708275493,-0.905467548,1,2,1
high_009,high,48.54545455,26.9,1.804663738,0.047619048,0.666666667,0.071428571,10,11,1.1,4.717666667,34.70551436,1.226626138,1.457433042,20.38763242,1.482226629,2.444843637,0.351842275,0.171441594,0.682416991,0.039258876,0.354800995,0.11190779,1.387990341,3.5622081,0.758748289,0.053287804,0.240109971,-0.368129221,0.756228825,0.058485177,-0.013845934,-1.214182656,0.353298421,0.14206277,0.477439142,-0.4097032,0.360945667,0.174286091,0.694705017,-0.456068191,1,7,1
high_010,high,27.09090909,30.27272727,0.894894895,0.227272727,0.272727273,0.833333333,11,11,1,4.467899083,20.04222815,0.699976522,-0.463105394,16.52931281,-0.542697021,-0.95417251,0.342906828,0.158196461,0.111969896,-0.553331146,0.362639308,0.158047987,0.213837749,-1.046389118,0.773474296,0.073301643,-0.115678996,-0.822362231,0.774842106,0.06645587,-0.070818145,-1.15775943,0.387880268,0.17503725,0.042856527,-0.934313643,0.396181304,0.185799756,0.029493746,-1.589864737,1,6,1
high_011,high,20.69230769,72.91666667,0.28378022,1.36,0.24,5.666666667,12,13,1.083333333,4.085758389,15.59585744,1.014775207,0.52821993,43.13922141,0.449617427,0.972810415,0.366071074,0.223546189,0.548269337,-0.41218876,0.34601814,0.189132965,0.772448439,0.231558694,0.777014895,0.070775128,-0.301744411,-0.656024181,0.781014582,0.06727587,-0.260104381,-0.721687639,0.316048689,0.128856399,0.249459526,0.174469456,0.352059758,0.146710234,0.085575565,-1.227509018,1,10,1
high_012,high,26.1875,6.545454545,4.000868056,0.092307692,0.323076923,0.285714286,33,32,0.96969697,3.83574,16.78601088,1.083156697,0.472867048,10.78798785,2.49742448,5.133130047,0.315684631,0.236437763,1.011426254,0.689161185,0.228216012,0.171872442,0.841774879,0.842008261,0.743033486,0.086209142,0.556635214,0.450124047,0.708798684,0.070546362,0.256773995,0.082562466,0.339907929,0.217102751,1.085869459,0.744841702,0.271230089,0.135635636,1.231358155,2.610378521,1,16,1
high_013,high,57.46666667,19.21428571,2.990830235,0.068965517,0.931034483,0.074074074,14,15,1.071428571,4.399358491,52.99308131,1.427995049,2.104233874,17.28573699,1.335519236,1.395937443,0.280350654,0.192152285,0.750730495,0.540399133,0.323934164,0.174579196,0.617898062,0.654201265,0.736744994,0.078724612,-0.146424745,-0.352071198,0.764194782,0.073828196,-0.603099826,-0.460684686,0.291922676,0.143280347,0.565234727,-0.091441466,0.38889265,0.149739917,-0.126649434,-0.836875336,1,5,0
